OncotreePrimaryDisease,Drug,F-statistic,p-value,Higher in,name,moa,target
Rhabdoid Cancer,BRD-A89164055-001-03-3::2.5::HTS,4.013770806772848,0.04561228186217948,Other Types,sorbinil,aldose reductase inhibitor,AKR1B1
Rhabdoid Cancer,BRD-A91366704-001-01-9::2.5::HTS,4.271081939526449,0.0392269843204544,Rhabdoid Cancer,eprinomectin,benzodiazepine receptor agonist,
Rhabdoid Cancer,BRD-A92872453-001-01-8::2.5::HTS,4.046582633976427,0.0447445846761559,Rhabdoid Cancer,N-acetylmannosamine,,CHIT1
Rhabdoid Cancer,BRD-A93477898-001-04-2::2.5::HTS,3.9418184142754957,0.04759243776152123,Rhabdoid Cancer,PETCM,caspase activator,CASP3
Rhabdoid Cancer,BRD-A95886749-001-03-5::2.5::HTS,5.213848032678082,0.022792406385302125,Rhabdoid Cancer,colfosceril-palmitate,pulmonary surfactant,
Rhabdoid Cancer,BRD-K00337317-001-06-6::2.5::HTS,5.970813538034925,0.014853348051693588,Other Types,NU-7441,DNA dependent protein kinase inhibitor,PRKDC
Rhabdoid Cancer,BRD-K01674964-300-06-3::2.5::HTS,6.535073786577505,0.010842351590721357,Rhabdoid Cancer,histamine,histamine receptor agonist,"HRH1, HRH2, HRH3, HRH4"
Rhabdoid Cancer,BRD-K02017404-300-06-2::2.5::HTS,4.876998893419639,0.02762268645303863,Other Types,NVP-BSK805,JAK inhibitor,JAK2
Rhabdoid Cancer,BRD-K02953697-001-09-2::2.5::HTS,7.500800801784807,0.006366027588569731,Rhabdoid Cancer,naringin,cytochrome P450 inhibitor,SLCO1A2
Rhabdoid Cancer,BRD-K03739921-001-06-8::2.5::HTS,4.484215629678535,0.034654087851982415,Other Types,hypoxanthine,PARP inhibitor,PNP
Rhabdoid Cancer,BRD-K04923131-001-15-4::2.5::HTS,5.708935093337055,0.01721346518710458,Rhabdoid Cancer,GSK-3-inhibitor-IX,"glycogen synthase kinase inhibitor, lipoxygenase inhibitor","GSK3A, GSK3B"
Rhabdoid Cancer,BRD-K05236810-001-19-0::2.5::HTS,6.844338722154795,0.00913395090779675,Rhabdoid Cancer,luteolin,glucosidase inhibitor,TOP1
Rhabdoid Cancer,BRD-K05464208-001-05-7::2.5::HTS,4.470470910620498,0.03492838251688533,Rhabdoid Cancer,JX-401,p38 MAPK inhibitor,MAPK14
Rhabdoid Cancer,BRD-K05674516-001-02-5::2.5::HTS,8.539396158158771,0.003616465291144176,Rhabdoid Cancer,sofosbuvir,RNA polymerase inhibitor,
Rhabdoid Cancer,BRD-K06147391-300-06-8::2.5::HTS,4.500935866173746,0.03431723929811684,Rhabdoid Cancer,telenzepine,acetylcholine receptor antagonist,CHRM1
Rhabdoid Cancer,BRD-K06674495-334-03-2::2.5::HTS,3.9511730892926,0.047327869843918735,Rhabdoid Cancer,nafamostat,serine protease inhibitor,"ASIC1, ASIC2, ASIC3, C1R, PRSS1, TPSAB1, TRPM7"
Rhabdoid Cancer,BRD-K07220430-001-18-4::2.5::HTS,5.014834764473048,0.02552489942354288,Rhabdoid Cancer,cinnarazine,calcium channel blocker,
Rhabdoid Cancer,BRD-K07359318-001-03-9::2.45::HTS,4.648664133911671,0.03152870447649213,Rhabdoid Cancer,benfotiamine,antioxidant,AGER
Rhabdoid Cancer,BRD-K07609981-001-01-7::2.5::HTS,6.591697930095266,0.010505378142077682,Other Types,dexloxiglumide,CCK receptor antagonist,CCKAR
Rhabdoid Cancer,BRD-K07753030-003-17-6::2.5::HTS,7.897569508478687,0.005124199498971557,Rhabdoid Cancer,acecainide,polarization inhibitor,SCN5A
Rhabdoid Cancer,BRD-K08223200-001-01-1::2.5::HTS,7.197586441088516,0.007519013240211214,Other Types,WAY-200070,estrogen receptor agonist,"ERBB2, ERBB3, ERBB4, ESR2"
Rhabdoid Cancer,BRD-K08231299-001-08-1::2.5::HTS,4.085925849837543,0.04372913924746092,Rhabdoid Cancer,propoxur,,
Rhabdoid Cancer,BRD-K08586861-001-01-1::2.5::HTS,11.327274375296302,0.0008182896226314165,Rhabdoid Cancer,ramatroban,prostanoid receptor antagonist,"PTGDR2, TBXA2R"
Rhabdoid Cancer,BRD-K08681769-323-03-7::2.5::HTS,8.273479122386819,0.00418542106751709,Rhabdoid Cancer,ibandronate,bone resorption inhibitor,FDPS
Rhabdoid Cancer,BRD-K08996725-332-01-7::2.5::HTS,4.458895513507496,0.035164680606299924,Other Types,zolantidine,histamine receptor antagonist,
Rhabdoid Cancer,BRD-K09255212-001-16-6::2.5::HTS,8.453823725507995,0.00379279494176426,Rhabdoid Cancer,clioquinol,chelating agent,OPRK1
Rhabdoid Cancer,BRD-K09338665-001-07-1::2.5::HTS,4.70532589544888,0.03051480784389491,Rhabdoid Cancer,1-octanol,,"GJA1, GJA10, GJA3, GJA4, GJA5, GJA8, GJA9, GJB1, GJB2, GJB3, GJB4, GJB5, GJB6, GJB7, GJC1, GJC2, GJC3, GJD2, GJD3, GJD4, GJE1"
Rhabdoid Cancer,BRD-K09785578-001-01-2::2.5::HTS,6.662609177421571,0.010100191912194785,Rhabdoid Cancer,bakuchiol,DNA polymerase inhibitor,HIF1A
Rhabdoid Cancer,BRD-K10670311-001-15-5::2.5::HTS,6.175690510889937,0.01325397411849517,Rhabdoid Cancer,sulfasalazine,cyclooxygenase inhibitor,"ACAT1, ALOX5, CHUK, IKBKB, PLA2G1B, PPARG, PTGS1, PTGS2, SLC46A1, SLC7A11, TBXAS1"
Rhabdoid Cancer,BRD-K10759144-001-04-3::2.5::HTS,8.974024031580276,0.0028670470062515095,Rhabdoid Cancer,xylose,,
Rhabdoid Cancer,BRD-K11073688-001-01-6::2.5::HTS,5.164130229962676,0.023451699091321103,Rhabdoid Cancer,CPI-1189,tumor necrosis factor release inhibitor,TNF
Rhabdoid Cancer,BRD-K11196887-001-21-2::2.5::HTS,7.471172182930878,0.006475446401516418,Rhabdoid Cancer,norfloxacin,bacterial DNA gyrase inhibitor,TOP2A
Rhabdoid Cancer,BRD-K11411329-001-01-3::2.5::HTS,4.9277791552598345,0.02682653259304504,Rhabdoid Cancer,NOV-002,,"GSR, GSTM2"
Rhabdoid Cancer,BRD-K11595419-001-01-4::2.5::HTS,4.274850411309827,0.03914243759039505,Rhabdoid Cancer,dipeptamin,,
Rhabdoid Cancer,BRD-K11672787-001-01-5::2.5::HTS,4.405774790551035,0.03626537553219027,Other Types,rostafuroxine,ATPase inhibitor,ATP1A1
Rhabdoid Cancer,BRD-K11900042-001-14-4::2.5::HTS,9.26940040517448,0.0024439502088290654,Rhabdoid Cancer,methylthiouracil,,
Rhabdoid Cancer,BRD-K11927976-050-02-9::2.5::HTS,4.539414328032,0.03356918287026068,Rhabdoid Cancer,ER-27319,"mediator release inhibitor, SYK inhibitor",SYK
Rhabdoid Cancer,BRD-K13296708-001-05-8::2.5::HTS,4.288763669421029,0.03882755127451684,Rhabdoid Cancer,rimonabant,cannabinoid receptor antagonist,"CNR1, GPR55"
Rhabdoid Cancer,BRD-K13495773-001-11-4::2.5::HTS,4.0250820125655355,0.0453220302982607,Rhabdoid Cancer,creatinine,,
Rhabdoid Cancer,BRD-K13949769-001-01-7::2.5::HTS,9.013484658083794,0.002799065750603763,Other Types,tenovin-6,SIRT inhibitor,"SIRT1, SIRT2, SIRT3"
Rhabdoid Cancer,BRD-K14116214-001-09-6::2.5::HTS,6.501122047134073,0.011046890097220676,Rhabdoid Cancer,sulfamonomethoxine,bacterial antifolate,
Rhabdoid Cancer,BRD-K14763542-001-02-3::2.5::HTS,7.347792214773944,0.006933037665764884,Rhabdoid Cancer,flurothyl,,
Rhabdoid Cancer,BRD-K14796088-003-26-8::2.5::HTS,7.05096500754199,0.008146987121494509,Other Types,berberine,LDL receptor activator,LDLR
Rhabdoid Cancer,BRD-K15179879-001-03-2::2.5::HTS,5.402373395644067,0.020480117734709934,Rhabdoid Cancer,carfilzomib,proteasome inhibitor,"PSMA1, PSMA2, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMA8, PSMB1, PSMB10, PSMB11, PSMB2, PSMB3, PSMB4, PSMB5, PSMB6, PSMB7, PSMB8, PSMB9"
Rhabdoid Cancer,BRD-K15791587-003-02-5::2.5::HTS,4.253805445125221,0.0396255841522103,Other Types,L-733060,tachykinin antagonist,TACR1
Rhabdoid Cancer,BRD-K16189898-003-03-3::2.5::HTS,4.677786373119027,0.030976108421928085,Rhabdoid Cancer,CHIR-99021,glycogen synthase kinase inhibitor,"CDK1, GSK3A, GSK3B, MAPK1"
Rhabdoid Cancer,BRD-K16730910-001-07-3::2.5::HTS,16.000092251035834,7.184093013789515e-05,Other Types,regorafenib,"FGFR inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RAF inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor","ABL1, BRAF, DDR2, EPHA2, FGFR1, FGFR2, FLT1, FLT4, FRK, KDR, KIT, MAPK11, NTRK1, PDGFRA, PDGFRB, RAF1, RET, TEK"
Rhabdoid Cancer,BRD-K16810791-001-01-0::2.5::HTS,11.83855509905559,0.0006232605959960603,Other Types,LGK-974,porcupine inhibitor,PORCN
Rhabdoid Cancer,BRD-K17008822-303-02-1::2.5::HTS,4.04170113107644,0.04487319941910624,Rhabdoid Cancer,BD-1008,sigma receptor antagonist,
Rhabdoid Cancer,BRD-K17075857-001-17-6::2.5::HTS,7.398196133957313,0.006731685916168254,Rhabdoid Cancer,chloroxine,opioid receptor antagonist,OPRK1
Rhabdoid Cancer,BRD-K17075857-001-18-4::2.5::HTS,19.788362191998257,1.0513346288346216e-05,Rhabdoid Cancer,chloroxine,opioid receptor antagonist,OPRK1
Rhabdoid Cancer,BRD-K17203476-001-01-9::2.5::HTS,5.530112086104461,0.019037388022269265,Other Types,LY2874455,FGFR antagonist,"FGFR1, FGFR2, FGFR3, FGFR4, KDR"
Rhabdoid Cancer,BRD-K17415526-001-03-5::2.5::HTS,7.739283177866888,0.005587337897530607,Rhabdoid Cancer,tyrphostin-AG-835,protein tyrosine kinase inhibitor,EGFR
Rhabdoid Cancer,BRD-K17561142-003-32-5::2.5::HTS,5.117751374604084,0.024064683804464845,Other Types,amiodarone,potassium channel blocker,"ADRB1, CACNA1H, CACNA2D2, KCNA7, KCNH2"
Rhabdoid Cancer,BRD-K18131774-001-17-6::2.5::HTS,5.942714580802847,0.015091629126089225,Other Types,ethoxzolamide,carbonic anhydrase inhibitor,"CA1, CA12, CA13, CA14, CA2, CA3, CA4, CA5A, CA5B, CA6, CA7, CA9"
Rhabdoid Cancer,BRD-K18135438-001-16-7::2.5::HTS,4.467320240874006,0.03499311492899433,Rhabdoid Cancer,chenodeoxycholic-acid,"11-beta hydroxysteroid dehydrogenase inhibitor, FXR agonist","HSD11B1, NR1H4"
Rhabdoid Cancer,BRD-K18948558-001-01-9::2.5::HTS,7.529829407191012,0.006262456681895141,Rhabdoid Cancer,clevudine,DNA polymerase inhibitor,
Rhabdoid Cancer,BRD-K19034817-001-01-4::2.5::HTS,4.652587371255608,0.0314331145232844,Other Types,pacritinib,"FLT3 inhibitor, JAK inhibitor","FLT3, JAK1, JAK2, JAK3"
Rhabdoid Cancer,BRD-K19061412-001-02-4::2.5::HTS,3.996135571515771,0.04609273791579774,Other Types,mubritinib,protein tyrosine kinase inhibitor,"EGFR, ERBB2"
Rhabdoid Cancer,BRD-K19227686-001-18-6::2.5::HTS,4.211829100358025,0.04062543789444858,Rhabdoid Cancer,phenolphthalein,indicator dye,UGT1A9
Rhabdoid Cancer,BRD-K19318328-001-01-3::2.5::HTS,6.494336614583386,0.011115610547779462,Rhabdoid Cancer,FR-139317,endothelin receptor antagonist,EDNRA
Rhabdoid Cancer,BRD-K20079257-001-09-6::2.5::HTS,7.619966572949361,0.005963765721446428,Rhabdoid Cancer,rufinamide,voltage-gated sodium channel blocker,"GRM5, SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A"
Rhabdoid Cancer,BRD-K20285085-001-07-1::2.5::HTS,12.237336044030949,0.0005071233911743424,Other Types,R406,SYK inhibitor,"RET, SYK"
Rhabdoid Cancer,BRD-K20285085-074-04-5::2.5::HTS,8.303372874497557,0.004118147693341138,Other Types,R406,SYK inhibitor,"RET, SYK"
Rhabdoid Cancer,BRD-K20290250-001-01-3::2.5::HTS,4.609698028200389,0.032222656323958404,Other Types,BIX-02188,MEK inhibitor,MAP2K5
Rhabdoid Cancer,BRD-K20313525-001-04-6::2.5::HTS,8.911906237214161,0.0029564829861028603,Rhabdoid Cancer,rosmarinic-acid,GABA transaminase inhibitor,"MCL1, TYR"
Rhabdoid Cancer,BRD-K20722021-001-02-1::2.5::HTS,6.321084731710566,0.01222124860526128,Other Types,CEP-32496,RAF inhibitor,"BRAF, RAF1"
Rhabdoid Cancer,BRD-K20995441-001-02-5::2.5::HTS,3.8872216428705864,0.04915198142786965,Rhabdoid Cancer,U-54494A,opioid receptor agonist,OPRK1
Rhabdoid Cancer,BRD-K21452876-003-01-8::2.5::HTS,6.4477884396047225,0.011388981626518514,Rhabdoid Cancer,chlorazanil,,
Rhabdoid Cancer,BRD-K21782625-001-02-4::2.5::HTS,4.825175075605731,0.028472051780233872,Other Types,AMG458,MET inhibitor,MET
Rhabdoid Cancer,BRD-K22662557-300-01-7::2.5::HTS,4.066714153758028,0.04421567189385402,Other Types,WIN-64338,bradykinin receptor antagonist,BDKRB2
Rhabdoid Cancer,BRD-K23403298-003-01-9::2.5::HTS,5.4546786458795875,0.01987719162701449,Other Types,benzyldimethylhexadecylammonium,cationic surfactant,
Rhabdoid Cancer,BRD-K23922020-075-02-9::2.5::HTS,4.839111106881266,0.02822829772774923,Other Types,arecaidine-propargyl-ester,acetylcholine receptor agonist,"CHRM1, CHRM2, CHRM3, CHRM4"
Rhabdoid Cancer,BRD-K23984367-075-15-2::2.5::HTS,6.090621935958068,0.013891137053940066,Other Types,sorafenib,"FLT3 inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RAF inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor","BRAF, DDR2, FGFR1, FLT1, FLT3, FLT4, KDR, KIT, PDGFRB, RAF1, RET"
Rhabdoid Cancer,BRD-K24048528-001-01-7::2.59::HTS,4.903680499729691,0.02722582401277258,Rhabdoid Cancer,abiraterone-acetate,androgen biosynthesis inhibitor,CYP17A1
Rhabdoid Cancer,BRD-K24227647-364-01-5::2.5::HTS,5.871137120927642,0.015711742096958466,Rhabdoid Cancer,TC2559,acetylcholine receptor agonist,CHRNA4
Rhabdoid Cancer,BRD-K24820488-001-01-7::2.5::HTS,4.275800994356765,0.03911824175159562,Other Types,CH-170,,
Rhabdoid Cancer,BRD-K24968862-001-01-0::2.5::HTS,4.521469255207569,0.0339072288284849,Rhabdoid Cancer,SB-683698,integrin antagonist,"ITGA4, ITGAV, ITGB1, ITGB7"
Rhabdoid Cancer,BRD-K25114078-003-08-1::2.5::HTS,6.080750229648953,0.013965391963426142,Rhabdoid Cancer,aminoguanidine,nitric oxide synthase inhibitor,NOS2
Rhabdoid Cancer,BRD-K25244359-066-03-4::2.68::HTS,10.22332222596606,0.0014698455119924712,Other Types,apatinib,RET tyrosine kinase inhibitor,"CSK, KDR, KIT, RET"
Rhabdoid Cancer,BRD-K25279140-001-01-5::2.5::HTS,5.336225553638529,0.02126705407033812,Other Types,MK-8745,Aurora kinase inhibitor,AURKA
Rhabdoid Cancer,BRD-K25317177-065-01-4::2.5::HTS,4.823314733771614,0.02848948721779033,Rhabdoid Cancer,modaline,,
Rhabdoid Cancer,BRD-K25699529-003-01-1::2.5::HTS,3.9295628032805614,0.04793435796857543,Rhabdoid Cancer,tapentadol,opioid receptor agonist,"HTR3A, OPRD1, OPRK1, OPRM1, SLC6A2, SLC6A4"
Rhabdoid Cancer,BRD-K26011976-001-01-0::2.5::HTS,5.863755809383401,0.0157962365302678,Rhabdoid Cancer,licochalcone-a,topoisomerase inhibitor,PTPN1
Rhabdoid Cancer,BRD-K26253904-001-01-5::2.5::HTS,4.6772180918355355,0.03098929358009487,Other Types,NMS-873,ATPase inhibitor,VCP
Rhabdoid Cancer,BRD-K26667523-001-02-5::2.5::HTS,6.04432362177907,0.014255934039204254,Other Types,TAK-733,MEK inhibitor,MAP2K1
Rhabdoid Cancer,BRD-K27217864-001-22-3::2.5::HTS,5.155880380087052,0.023550151848174796,Rhabdoid Cancer,butamben,sodium channel blocker,
Rhabdoid Cancer,BRD-K27335680-001-10-0::2.5::HTS,6.896551992019478,0.008875040138397074,Rhabdoid Cancer,rhein,,HSP90AA1
Rhabdoid Cancer,BRD-K27382019-418-01-9::2.5::HTS,4.6092431712144295,0.03223504248687283,Rhabdoid Cancer,piperaquine-phosphate,antimalarial agent,
Rhabdoid Cancer,BRD-K27871792-001-01-8::2.5::HTS,5.902519065774548,0.015431518216923781,Other Types,flucloxacillin,bacterial cell wall synthesis inhibitor,
Rhabdoid Cancer,BRD-K28343777-001-01-6::2.5::HTS,4.942008321611364,0.026614285471915508,Rhabdoid Cancer,20-hydroxyecdysone,ecdysone receptor modulator,
Rhabdoid Cancer,BRD-K28392481-001-05-1::2.5::HTS,10.953027727622816,0.0009953574987371142,Other Types,AZD4547,FGFR inhibitor,"FGFR1, FGFR2, FGFR3, FGFR4, IGF1R, KDR"
Rhabdoid Cancer,BRD-K28428262-001-04-1::2.5::HTS,7.214317508073754,0.007449759743275635,Other Types,brivanib,"FGFR inhibitor, VEGFR inhibitor","CYP3A4, FGFR1, FLT1, KCNH2, KDR"
Rhabdoid Cancer,BRD-K28494619-001-28-2::2.5::HTS,7.11478825317203,0.007867477296481127,Rhabdoid Cancer,sulfamethoxazole,PABA antagonist,
Rhabdoid Cancer,BRD-K28595280-001-04-5::2.5::HTS,4.712510565439024,0.030365505811011995,Rhabdoid Cancer,meglumine,excipient,
Rhabdoid Cancer,BRD-K28863208-001-02-0::2.5::HTS,6.072477700689431,0.01403293860468051,Rhabdoid Cancer,PNU-282987,cholinergic receptor agonist,CHRNA7
Rhabdoid Cancer,BRD-K29220403-001-10-8::2.5::HTS,4.440336074597262,0.03556068467992471,Rhabdoid Cancer,eszopiclone,benzodiazepine receptor agonist,"GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, TSPO"
Rhabdoid Cancer,BRD-K29895144-001-01-0::2.5::HTS,4.918098569778537,0.026978049680151935,Other Types,SKLB1002,VEGFR inhibitor,KDR
Rhabdoid Cancer,BRD-K30550578-001-01-3::2.5::HTS,7.69894159558668,0.005712150503442303,Rhabdoid Cancer,PF-04620110,diacylglycerol O acyltransferase inhibitor,DGAT1
Rhabdoid Cancer,BRD-K31309378-001-01-5::2.5::HTS,20.668822887863772,6.714328581607641e-06,Other Types,lucitanib,"FGFR inhibitor, VEGFR inhibitor","FGFR1, FLT1, KDR, KIT, PDGFRA, PDGFRB, RET"
Rhabdoid Cancer,BRD-K31468676-237-01-8::2.5::HTS,5.999761609413449,0.014625608473402208,Rhabdoid Cancer,oxonic-acid,uricase inhibitor,
Rhabdoid Cancer,BRD-K33622447-066-01-9::2.5::HTS,5.1018214117631056,0.024285957289428152,Other Types,abemaciclib,CDK inhibitor,"CDK4, CDK6"
Rhabdoid Cancer,BRD-K33882852-003-02-8::2.5::HTS,4.577139208430484,0.032839200661174045,Other Types,ZK-93423,benzodiazepine receptor agonist,"GABRA1, GABRA2, GABRA3, GABRA5, GABRB2, GABRG2"
Rhabdoid Cancer,BRD-K34332569-001-01-3::2.5::HTS,7.487686446580816,0.006411557775965091,Rhabdoid Cancer,imidapril,angiotensin converting enzyme inhibitor,ACE
Rhabdoid Cancer,BRD-K34388247-236-08-2::2.5::HTS,4.189517613409299,0.04114342956372758,Rhabdoid Cancer,methicillin,bacterial cell wall synthesis inhibitor,
Rhabdoid Cancer,BRD-K34568562-001-04-3::2.5::HTS,5.918354768790105,0.015297126979209296,Rhabdoid Cancer,tilorone,interferon inducer,
Rhabdoid Cancer,BRD-K34591242-001-04-3::2.5::HTS,6.238327153392389,0.01278830428019105,Rhabdoid Cancer,methoprene-(s),,
Rhabdoid Cancer,BRD-K34801930-001-01-9::2.5::HTS,10.166836544813691,0.0015099015227371107,Rhabdoid Cancer,AZD5069,CC chemokine receptor antagonist,CXCR2
Rhabdoid Cancer,BRD-K36207157-001-07-0::2.52::HTS,4.239347558325686,0.039987257777951105,Other Types,chlorprothixene,dopamine receptor antagonist,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, HRH1, HTR2A, HTR2B, HTR2C"
Rhabdoid Cancer,BRD-K36207157-001-09-6::2.5::HTS,5.214497175648255,0.0227729650354435,Rhabdoid Cancer,chlorprothixene,dopamine receptor antagonist,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, HRH1, HTR2A, HTR2B, HTR2C"
Rhabdoid Cancer,BRD-K36775483-001-01-4::2.5::HTS,4.096428166016136,0.043453340813468445,Rhabdoid Cancer,DMeOB,,GRM5
Rhabdoid Cancer,BRD-K37083340-001-02-3::2.5::HTS,5.474591817059657,0.0196665450736785,Other Types,lycopene,free radical scavenger,
Rhabdoid Cancer,BRD-K37687095-001-06-9::2.5::HTS,11.390569141860906,0.0007891147274672932,Other Types,AZD8330,MEK inhibitor,
Rhabdoid Cancer,BRD-K38380126-001-01-4::2.5::HTS,4.0576111690341286,0.0444511206210245,Other Types,thiamet-g,GLCNAC phosphotransferase inhibitor,MGEA5
Rhabdoid Cancer,BRD-K38797369-003-01-1::2.46::HTS,13.798105509896825,0.00022522009153885133,Rhabdoid Cancer,PD-128907,dopamine receptor agonist,"DRD2, DRD3"
Rhabdoid Cancer,BRD-K38904395-001-02-3::2.5::HTS,12.103602165149233,0.0005422440188857421,Other Types,SAR131675,VEGFR inhibitor,FLT4
Rhabdoid Cancer,BRD-K39252998-003-01-5::2.5::HTS,4.330100784431848,0.03790955469259443,Rhabdoid Cancer,atipamezole,adrenergic receptor antagonist,
Rhabdoid Cancer,BRD-K39841531-001-02-1::2.5::HTS,4.305935624987721,0.03843725207684556,Other Types,TG-101209,JAK inhibitor,"JAK2, JAK3"
Rhabdoid Cancer,BRD-K39974922-001-04-3::2.5::HTS,24.866588799145134,8.266246136419297e-07,Other Types,lenvatinib,"FGFR inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor","FLT4, KDR"
Rhabdoid Cancer,BRD-K39987650-001-24-1::2.5::HTS,10.580638253056433,0.00121196810380252,Other Types,bisacodyl,laxative,
Rhabdoid Cancer,BRD-K41337261-001-03-0::2.5::HTS,5.342125081522576,0.021176958403245003,Other Types,ZM-306416,"Abl kinase inhibitor, src inhibitor, VEGFR inhibitor","EGFR, FLT1, FLT4, KDR"
Rhabdoid Cancer,BRD-K41876534-001-13-7::2.5::HTS,5.922565810722454,0.015261566633276014,Rhabdoid Cancer,tioxolone,carbonic anhydrase inhibitor,CA2
Rhabdoid Cancer,BRD-K42417338-045-01-9::2.5::HTS,6.462125008340266,0.011294968127317067,Rhabdoid Cancer,butorphanol-(+)-tartrate,"opioid receptor agonist, opioid receptor antagonist","OPRD1, OPRK1, OPRM1"
Rhabdoid Cancer,BRD-K42756753-001-01-9::2.5::HTS,10.440496434141872,0.0013080765001669851,Rhabdoid Cancer,epiandrosterone,steroid,G6PD
Rhabdoid Cancer,BRD-K42859542-001-03-3::2.5::HTS,5.903942466925663,0.015421998191391102,Rhabdoid Cancer,CFM-2,glutamate receptor antagonist,
Rhabdoid Cancer,BRD-K42973005-001-04-0::2.5::HTS,4.058481312618834,0.04442753728697312,Rhabdoid Cancer,CHIR-98014,glycogen synthase kinase inhibitor,"GSK3A, GSK3B"
Rhabdoid Cancer,BRD-K42981054-001-01-9::2.5::HTS,4.256221817393821,0.03957903191726867,Other Types,mibampator,glutamate receptor modulator,GRIA1
Rhabdoid Cancer,BRD-K43164539-001-11-5::2.5::HTS,4.230011332055111,0.04018976088284669,Rhabdoid Cancer,cholic-acid,bile acid,"ADH1C, CES1, COX4I1, COX5A, COX5B, COX6A2, COX6B1, COX6C, COX7A1, COX7B, COX7C, COX8A, ESRRG, FABP6, FECH, GPBAR1, MT-CO1, MT-CO2, MT-CO3, PLA2G1B"
Rhabdoid Cancer,BRD-K43192255-048-03-6::2.5::HTS,9.836695530362372,0.0018009407082125674,Rhabdoid Cancer,methyllycaconitine,acetylcholine receptor antagonist,CHRNA7
Rhabdoid Cancer,BRD-K43621685-001-02-5::2.5::HTS,4.093573025248702,0.04352364479646129,Other Types,CP-673451,PDGFR tyrosine kinase receptor inhibitor,"KIT, PDGFRA, PDGFRB"
Rhabdoid Cancer,BRD-K44009692-001-02-3::2.5::HTS,7.230137187845098,0.007385249948385583,Rhabdoid Cancer,hyodeoxycholic-acid,atherosclerosis formation inhibitor,
Rhabdoid Cancer,BRD-K44133266-001-10-0::2.5::HTS,6.445641066281699,0.011402589316241914,Rhabdoid Cancer,sulbactam,beta lactamase inhibitor,
Rhabdoid Cancer,BRD-K44227013-001-06-4::2.5::HTS,7.435494180847549,0.006596481585206756,Other Types,ponatinib,"Bcr-Abl kinase inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor","ABL1, BCR, FGFR1, FGFR2, FGFR3, FGFR4, FLT3, KDR, KIT, LCK, LYN, PDGFRA, RET, SRC, TEK"
Rhabdoid Cancer,BRD-K44442813-001-12-9::2.5::HTS,5.582402144292691,0.018481496463584542,Rhabdoid Cancer,pidotimod,"interferon receptor agonist, interleukin receptor agonist",
Rhabdoid Cancer,BRD-K44665581-001-01-8::2.5::HTS,5.707637474892437,0.017222448397205527,Other Types,bromosporine,bromodomain inhibitor,
Rhabdoid Cancer,BRD-K44777625-001-03-5::2.5::HTS,5.844133283008004,0.015947966319732696,Rhabdoid Cancer,FH1,hepatocyte function enhancer,
Rhabdoid Cancer,BRD-K44844162-001-01-6::2.5::HTS,8.355955337460557,0.003995536016779192,Other Types,taselisib,PI3K inhibitor,PIK3CA
Rhabdoid Cancer,BRD-K44974079-001-01-3::2.5::HTS,5.4201176274583025,0.020267048158724647,Rhabdoid Cancer,ticagrelor,purinergic receptor antagonist,P2RY12
Rhabdoid Cancer,BRD-K45528773-001-07-2::2.59::HTS,4.6203014900001715,0.03204940057050405,Rhabdoid Cancer,M-344,HDAC inhibitor,
Rhabdoid Cancer,BRD-K45861246-001-13-4::2.5::HTS,5.178615948967079,0.023253102953384595,Rhabdoid Cancer,azaperone,dopamine receptor antagonist,"DRD2, DRD3"
Rhabdoid Cancer,BRD-K45916615-066-02-5::2.5::HTS,6.241465508524022,0.012772245895181304,Rhabdoid Cancer,danofloxacin,bacterial DNA gyrase inhibitor,
Rhabdoid Cancer,BRD-K46211610-003-26-7::2.5::HTS,8.170038276931107,0.004418156198659729,Rhabdoid Cancer,tolazoline,adrenergic receptor antagonist,"ADRA1A, ADRA2A, ADRA2B, ADRA2C, HRH1, HRH2"
Rhabdoid Cancer,BRD-K46435977-003-11-1::2.5::HTS,4.573655455304568,0.032903885645722414,Rhabdoid Cancer,valaciclovir,DNA polymerase inhibitor,
Rhabdoid Cancer,BRD-K46556543-237-10-5::2.55::HTS,6.22525053771984,0.012898444745634646,Rhabdoid Cancer,potassium-canrenoate,mineralocorticoid receptor antagonist,NR3C2
Rhabdoid Cancer,BRD-K46654563-238-01-0::2.5::HTS,4.601921820004033,0.032371789539401605,Rhabdoid Cancer,zofenopril-calcium,angiotensin converting enzyme inhibitor,ACE
